Ticker,Name,Price,Dividend Yield,Market Cap ($M),P/E Ratio,Payout Ratio
SCND,"Scientific Industries, Inc.",$3.36 ,1.50%,$5 ,24,35.80%
SEKEF,Seiko Epson Corporation,$16.90 ,3.40%,"$5,791 ",14,47.90%
SEPJF,Spectris plc,$29.64 ,2.80%,"$3,427 ",9.2,25.70%
SEPJY,SPECTRIS,$15.80 ,0.00%,$,,
SGAMF,Sega Sammy Holdings Inc.,$14.25 ,2.60%,"$3,388 ",-178.1,-459.60%
SGPYY,The Sage Group plc,$27.74 ,2.10%,"$7,604 ",19.6,41.40%
SILC,Silicom Ltd,$37.40 ,0.00%,$284 ,,
SIMO,Silicon Motion Technology Corporation,$35.65 ,3.70%,"$1,160 ",13.5,49.80%
SKLTF,SEEK Limited,$12.99 ,2.70%,"$4,546 ",123.8,334.10%
SKSJF,"Shinko Shoji Co., Ltd.",$15.66 ,3.50%,$302 ,24.5,85.40%
SLP,Simulations Plus Inc.,$19.04 ,1.30%,$326 ,47.6,61.00%
SMTGF,SMA Solar Technology AG,$23.11 ,0.00%,$729 ,50.2,0.00%
SMTOF,"Sumitomo Electric Industries, Ltd.",$13.54 ,3.30%,"$10,600 ",9.3,30.80%
SNE,Sony Corporation,$50.76 ,0.60%,"$62,849 ",14.3,8.00%
SNEJF,Sony Corporation,$51.60 ,0.50%,"$64,063 ",10.8,5.50%
SNPTF,Sunny Optical Technology,$9.47 ,0.00%,"$10,688 ",23.1,0.00%
SPHHF,Sophos Group plc,$4.00 ,1.20%,"$1,887 ",-100,-117.00%
SQNXF,"Square Enix Holdings Co., Ltd.",$29.63 ,2.70%,"$3,529 ",23,61.80%
SRMC,Sierra Monitor Corporation,$1.75 ,2.30%,$18 ,58.3,133.60%
SSNC,SS&C Technologies Holdings Inc.,$45.83 ,0.70%,"$10,786 ",20.5,14.60%
STM,STMicroelectronics N.V.,$14.22 ,1.80%,"$12,259 ",10.2,18.10%
STMEF,STMicroelectronics N.V.,$13.90 ,1.70%,"$12,540 ",21.7,37.60%
STWRY,Software Aktiengesellschaft,$10.26 ,1.60%,"$2,774 ",17.1,27.90%
STX,Seagate Technology PLC,$43.10 ,6.00%,"$12,058 ",9.5,56.70%
SUMCF,Sumco Corporation,$14.98 ,1.70%,"$3,942 ",9.1,15.50%
SVT,Servotronics Inc.,$11.55 ,1.40%,$29 ,,
SWDHY,Skyworth Digital Holdings Limited,$7.62 ,9.10%,$785 ,12.1,109.70%
SWKS,Skyworks Solutions Inc.,$70.29 ,2.20%,"$12,322 ",10.6,23.30%
